category,recipeName,pageNumber,season,activeTime,totalTime,difficulty,matrixDifficulty,freeFrom,servings,stephanie,rosie,specialEquipment,flourCups,alternativeFlour,eggsWhole,eggYolks,eggWhites,containsNuts,onlyPantry,isYeasted,requiresAdditionalRecipes,Amateur creation v Claire creation?,What/who would you make this for?
Loaf Cakes and Single-Layer Cakes,Spiced Honey and Rye Cake,37,All,30 minutes,1 hour 25 minutes,1,,Dairy-Free,1 loaf,Yes,Yes,4.5x8.5 inch loaf pan,1 1/2,Yes,2,0,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Almond Butter Banana Bread,38,All,25 minutes,1 hour 35 minutes,1,,,1 loaf,Yes,No,4.5x8.5 inch loaf pan,1 1/3,No,2,0,0,Yes,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Poppy Seed Almond Cake,41,All,30 minutes,2 hours 15 minutes,1,,,1 bundt cake,Yes,No,Stand or hand mixer; 12 cup bundt pan,3,No,3,0,0,No,Yes,No,No,,
Loaf Cakes and Single-Layer Cakes,Kabocha Turmeric Tea Cake,42,All,30 minutes,"3 hours (if roast pumpkin), 1 hour 30 minutes (canned pumpkin)",1,,,1 loaf,Yes,Yes,4.5x8.5 inch loaf pan,1 1/2,No,2,0,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Spiced Persimmon Cake,45,Fall,45 minutes,2 hours,2,,Dairy-Free,1 loaf,Yes,No,Blender; 4.5x8.5 inch loaf pan,1 3/4,No,2,0,0,Yes,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Mascarpone Cake with Red Wine Prunes,47,All,35 minutes,1 hour 45 minutes,2,,,8,Yes,No,9-inch cake pan,1,No,1,2,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Pear Chestnut Cake,51,Fall,30 minutes,1 hour 30 minutes,2,,,10,No,Yes,10-inch oven proof skillet or 10-inch springform pan; stand mixer,1 1/3,No,2,0,0,Yes,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Double-Apple Crumble Cake,53,Fall/Winter,45 minutes,2 hours 15 minutes,2,,,10 to 12,Yes,No,9-inch springform pan,2,No,2,0,0,No,No,No,All-Purpose Crumble Topping (page 319),,
Loaf Cakes and Single-Layer Cakes,Rhubarb Cake,56,Spring/Summer,30 minutes,2 hours 15 minutes,2,,,1 loaf,Yes,No,4.5x8.5 inch loaf pan,1 3/4,No,2,0,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Rice Pudding Cake with Mango Caramel,59,Winter,55 minutes,1 hour 45 minutes,2,,Gluten-Free,10,No,No,Blender; 10-inch cake pan,0,Yes,2,3,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Ricotta Cake with Kumquat Marmalade,61,All (cake)/Winter (kumquat),1 hour 15 minutes,2 hours,3,,,8,No,No,9-inch springform pan; food processor; hand or stand mixer,1,No,4,1,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Flourless Chocolate Wave Cake,65,All,35 minutes,1 hour 10 minutes,3,,Gluten-Free; Dairy-Free,10,Yes,Yes,9-inch springform pan; stand or hand mixer,0,Yes,0,6,6,No,Yes,No,No,,
Loaf Cakes and Single-Layer Cakes,Blood Orange and Olive Oil Upside-Down Cake,67,Winter,50 minutes,1 hour 30 minutes,3,,Dairy-Free (if omitting yogurt on the top),8 to 10,Yes,Yes,10-inch springform pan; stand or hand mixer,0,Yes,3,0,0,No,No,No,No,,
Loaf Cakes and Single-Layer Cakes,Goat Cheese Cake with Honey and Figs,71,All (cake)/Fall (figs),1 hour,1 hour 45 minutes,3,,,10,No,No,9-inch springform pan; roasting pan; stand or hand mixer,0,No,4,0,0,No,No,No,Graham Cracker Crust (page 326),,
Loaf Cakes and Single-Layer Cakes,Pineapple and Pecan Upside-Down Cake,73,Winter,40 minutes,1 hour 30 minutes,3,,,8,No,No,9-inch cake pan; food processor; stand or hand mixer,1,No,2,0,0,Yes,No,No,No,,
Pies and Tarts,Cranberry-Pomegrante Mousse Pie,79,Fall/Winter,1 hour,1 hour plus 4 for chilling,2,,,8,No,Yes,9-inch pie plate; optional stand or hand mixer,0,No,0,0,0,No,No,No,"Graham Cracker Crust, Speculoos Variation (page 327)",,
Pies and Tarts,Plum Galette with Polenta and Pistachios,81,Late Summer/Early Fall,30 minutes,2 hours,2,,,8,No,No,None,0,Yes,1,0,0,Yes,No,No,Flaky All-Butter Pie Dough (page 333),,
Pies and Tarts,Pistachio Linzer Tart,85,All,45 minutes,1 hour 45 minutes,2,,,8,No,No,9-inch round or 14x4-inch rectangular removable-bottom tart pan; food processor; pastry bag; optional large cake icer or other pastry tip,1,No,1,0,0,Yes,Yes,No,No,,
Pies and Tarts,Salty Nut Tart with Rosemary,87,All,40 minutes,1 hour 15 minutes,2,,,12,No,No,9-inch removable-bottom tart pan; food processor (for Sweet Tart Dough),0,No,0,0,0,Yes,No,No,Sweet Tart Dough (page 338),,
Pies and Tarts,Apple Tart,91,Fall/Winter,1 hour 15 minutes,2 hours 15 minutes,3,,,8,Yes,No,None,0,No,1,0,0,No,No,No,1/2 Rough Puff Pastry (page 355),,
Pies and Tarts,Carmelized Honey Pumpkin Pie,93,Fall,35 minutes,1 hour 35 minutes,3,,,8,No,No,9-inch pie plate; pie weights or 4 cups dried beans or rice,0,No,4,0,0,No,No,No,Flaky All-Butter Pie Dough (page 333),,
Pies and Tarts,Apple and Concord Grape Crumble Pie,97,Fall,1 hour 45 minutes,3 hours 15 minutes,3,,,8,No,No,9-inch pie plate; pie weights or 4 cups dried beans or rice,0,No,0,0,0,No,No,No,"Flaky All-Butter Pie Dough (page 333); All-Purpose Crumble Topping, Buckwheat Variation (page 319)",,
Pies and Tarts,Blackberry Caramel Tart,99,Summer,45 minutes,45 minutes plus 2 hours for chilling,3,,,8,Yes,No,9-inch removable-bottom tart pan; food processor (for Sweet Tart Dough),0,No,0,0,0,No,No,No,Sweet Tart Dough (page 338),,
Pies and Tarts,Apricot and Cream Brioche Tart,102,Summer,40 minutes,1 hour 50 minutes,3,,,12,No,No,optional stand mixer,0,No,1,1,0,No,No,Yes,1/2 Brioche Dough; 1/2 Honey Almond Syrup,,
Pies and Tarts,Meyer Lemon Tart,104,Winter,30 minutes,1 hour 45 minutes plus 1 hour to chill,3,,,8 to 10,Yes,No,9-inch removable-bottom tart pan or 9-inch springform pan; instant read thermometer; food processor (for Sweet Tart Dough),0,No,0,0,0,No,No,No,"Lemon Curd, Meyer Lemon Variation (page 330); Sweet Tart Dough (page 338)",,
Pies and Tarts,Foolproof Tarte Tatin,107,Fall/Winter,1 hour 30 minutes,4 hours,3,,,8,Yes,Yes,10-inch ovenproof skillet,0,No,0,0,0,No,No,No,1/2 Rough Puff Pastry (page 355),,
Pies and Tarts,Sour Cherry Pie,111,Summer,45 minutes,2 hours 45 minutes,3,,,8,No,No,Cherry pitter; 9-inch pie plate,0,No,1,0,0,No,No,No,"2 Flaky All-Butter Pie Dough, Almond Variation (page 337)",,
Pies and Tarts,Quince and Almond Tart with Rose,115,Fall,1 hour 45 minutes,2 hours 30 minutes,3,,,8,No,No,10-inch oven proof skillet,0,No,0,0,0,Yes,No,No,Flaky All-Butter Pie Dough (page 333) or 1/2 Rough Puff Pastry (page 355),,
Pies and Tarts,Blueberry Slab Pie,119,Summer/All,1 hour 15 minutes,5 hours,4,,,24,Yes,Yes,Food processor; at least 2 half-sheet pans (18x13 inches),7 1/2,No,1,0,0,No,No,No,No,,
